article_id,url,source_name,source_url,sentiment_ground_truth,title,subtitle,author_name,publish_date,content,top_image_url,top_image_caption,created_at,tags,categories
299560,https://theshiftnews.com/2024/01/24/removed-heritage-expert-brought-back-to-save-vallettas-unesco-status/,The Shift,https://theshiftnews.com,Neutral,Removed heritage expert brought back to save Vallettas UNESCO status,,The Shift Team,24/01/2024,"Anthony Pace, Maltas first superintendent for cultural heritage, who was removed from his post in 2018, has been brought back by Culture Minister Owen Bonnici to save Maltas capital from being de-listed as a UNESCO World Heritage site.
The Shift is informed that Pace, responsible for many controversial heritage decisions under both Nationalist Party and Labour Party administrations, was appointed late last year as the coordinator of Vallettas updated management plan.
With several government-appointed experts, Pace has been tasked with drafting the new updated plan, which should include a Vistas and Views Analysis of the capital and a review of Valettas buffer zone.
The updated management plan, a requirement under the World Heritage Convention, has been asked for by UNESCO since 2011. However, after more than a decade, the report is still not finalised.
Last September, during a meeting of the UNESCO convention in Riyadh, Malta was given until the end of 2024 to present its long-awaited report on Vallettas conservation.
Although UNESCO officially avoided threatening Malta with a downgrade, in case the report remains elusive, experts told The Shift that this is the last chance being given.
The Shift is also informed that work on this 2011 updated management plan was only started last year and is still not finalised.
Actual work on the new Vistas and Views Analysis was only commissioned by Culture Minister Owen Bonnici last summer and is still not concluded.
According to information sought through a Freedom of Information request, criminologist Saviour Formosa has been tasked to conduct a view shed survey while university lecturer and architect Wendy Jo Mifsud is working on the views analysis.
According to her contract, Mifsud is only expected to conclude her work in March.
The actual compiling of the management plan is being carried out by Anthony Pace, assisted by Aleks Farrugia, a former editor of the newspaper It-Torca, who has been appointed Valletta site manager.
Both Pace and Farrugia are part of the public service.
Asked a few weeks ago by PN culture spokesperson Julie Zahra for an update, Bonnici said the government should now be able to meet the new UNESCO deadline.
He insisted that the delay did not affect Vallettas status as a world heritage site.",https://theshiftnews.com/wp-content/uploads/2024/01/PIC-Anthony-Pace.jpg,,2025-07-21 13:18:02.254481+02,{},{}
301048,https://theshiftnews.com/2024/02/05/opinion-the-end-of-the-road/,The Shift,https://theshiftnews.com,Negative,Opinion: The end of the road,,Kevin Cassar,05/02/2024,"We will issue all the numbers after the film awards, Film Commissioner Johann Grech announced. That was over two years ago.
Grech was repeatedly asked how much of our money hed squandered on the lavish film awards night. In one encounter with a Times of Malta reporter, he refused to answer that simple question seven times.
He declined to disclose how much hed paid David Walliams for his appearance that night.
Despite his promises over the last two years to publish the figures, Grech has doggedly refused. Now, hes reached the end of the road.
The court has ordered Grech to hand over electronic copies of all the invoices from David Walliams, his agents or companies for that single night.
Its been a long and winding road to get here, but the story is simple.
Johann Grech, who started as Joseph Muscats propagandist and speechwriter, felt he could do as he pleased with our money.
Labour allocated 400,000 for a lavish one-night event. But Grech spent heaps more. David Walliams was allegedly paid more for one night than 45 average Maltese citizens earn in one year.
Local film producers boycotted the event, upset that the money allocated to local film productions was less than Grech spent in one night.
Questions were being asked, and everybody wanted to know why our money was being squandered in gaudy, vulgar shows parading Labour ministers in ill-fitting tuxedos.
Well, Grech wasnt playing ball, and he kept teasing reporters with non-answers. The prize-giving ceremony will provide value for money, he insisted.
We are making sure we are giving a good show. We are celebrating our story, he declared.
Yes, celebrating Labours story.
No fewer than three Labour ministers  Clayton Bartolo, Carmelo Abela and Jose Herrera got to present awards.
Plenty of Labours inner circle  Jason Micallef, Malta Enterprise CEO and Joseph Muscat spokesman Kurt Farrugia, Albert Marshall, PBS CEO Mark Sammut, Johann Buttigieg  were also up on stage dishing out Maltas version of the Oscars.
And, of course, Johann Grech was there, centre stage, basking in the limelight. How much we paid for those two hours of tackiness, nobody knows.
Grech and Clayton Bartolo came up with all sorts of excuses: Well issue all the numbers after the film awards, Were still compiling the numbers, Its impossible to calculate how much it cost or the award-winning I dont speculate on numbers.
The Daphne Caruana Galizia Foundation asked Grech how much David Walliams was paid for that one night. Grech refused to reply, insisting, There is good reason for withholding the requested document.
When the Foundation complained that the documents requested were not exempt under the Freedom of Information Act, the Film Commission cited confidentiality and a decision by the UK Information Commissioners Office on disclosure of earnings as an excuse to withhold the information.
When the Foundation took its complaint to the Information and Data Protection Commissioner, the Commissioner ordered Grech to release the information requested.
He ruled that Grechs Film Commission had cited the UK decision out of context, did not apply in this case and that the Information Commissioners office distinguished between private and public lives.
Besides, the Commissioner decided that the confidentiality clause with Walliams could not be used to prevent disclosure of the fee he was paid.
Instead of abiding by the Commissioners ruling, Grech appealed before the Data Protection Tribunal.
The Tribunal upheld the Commissioners ruling and ordered Grech to hand over the information.
But Grech wasnt done.
He took the case before the civil court, asking that the Commissioners decision be annulled and revoked.
Judge Lawrence Mintoff wiped the floor with him. The Court noted that the information was being requested from a public authority over a contract the authority signed of its own free will with a service provider.
The Court ruled that the Film Commission is duty bound to reveal and explain how public funds are being spent. It said, The information requested is related to payments to a person the Commission chose directly without a public call.
The Judge threw out the Commissions appeal. The court was compelled to state the obvious  that the money is public money, its not Johann Grechs. He chose David Walliams, and he gave him a direct contract without any public call.
The court ruled that how much money Grech paid Walliams must be disclosed to uphold principles of transparency and accountability.
The National Audit Office has already found that the Film Commission showed a complete disregard for established policies and procedures governing travel abroad and using public funds in an extravagant manner.
Now, the Court has delivered a blistering judgement berating the Commission for its secrecy.
I have nothing to hide, Johann Grech told journalists in September 2023 while staunchly refusing to answer basic questions. Grech has gone through so much hassle for somebody whos got nothing to hide.
Even worse, hes squandered so much more of our money. Those appeals and court procedures imposed a further unnecessary financial burden on the State.
It was bad enough to squander possibly more than a million euro of public funds on a tasteless, garish pantomime of kitsch, but to inflict further costs on the public to hide his profligacy is offensive.
At last, time is catching up with Johann Grech. His evasion and deception have been exposed, and theres more to come.",https://theshiftnews.com/wp-content/uploads/2025/03/Screenshot-2024-02-05-at-7.49.06/AM.png,,2025-07-21 13:24:26.837451+02,{},{}
310544,https://www.independent.com.mt/articles/2024-11-15/local-news/Malta-tops-European-Commission-s-economic-growth-forecast-for-2025-6736265755,Independent,https://www.independent.com.mt,Positive,Malta tops European Commissions economic growth forecast for 2025,,,15/11/2024,"The Maltese economy maintains its growth momentum on the back of strong domestic demand and export performance.
Tourism arrivals to Malta continue to grow, while the strong employment and recovering real wages are supporting consumption, the European Commission said.
The Commission noted that after achieving 5.0% GDP growth in 2024, the Maltese economy is set to continue expanding at 4.3% in 2025 and 2026. The government deficit is set to decline to 4.0% of GDP in 2024 and is expected to decrease further in 2025 and 2026, remaining above 3% over the forecast horizon.
An economic growth forecast of 4.3% for 2025 puts Malta at the top of the ranking in the EU. Ireland registers the second highest growth forecast with 4%, followed by Poland (3.6%), Croatia (3.3%), and Lithuania (3%).
Italy (1%), Austria (1%), France (0.8%), and Germany (0.7%) are at the bottom of the rankings.
Growth is expected to remain strong
Real GDP growth in 2024 is projected to reach 5.0%, 0.4 percentage points higher than expected in spring. The main drivers are strong private and public consumption, aided by the positive contribution of net exports. These trends reflect the impact of still growing tourist arrivals and robust immigration flows, the Commission said.
Tourism in Malta already exceeded the prepandemic levels in 2023 and continues to grow. Between January and August 2024, the flow of tourists was 21.1% higher than the corresponding period of 2023, matched by a similar overall tourism expenditures growth. Driven by tourism and other services sectors (recreational services, as well as professional, IT and financial services), exports are expected to continue growing faster than imports in 2024, with an overall positive contribution of trade to real GDP growth, it continued.
Investment growth is projected to recover after a sharp slowdown in 2023, reaching 4.4% in 2024, 4.5% in 2025, and 3.5% in 2026. The ongoing absorption of the Recovery and Resilience Funds support provides additional impulse to investments. Overall, real GDP is projected to stay on a robust growth path reaching 4.3% in both 2025 and 2026.
Employment continues on the path of robust growth
Employment is expected to grow by 4.3% in 2024, relying on high immigration flows given the intense labour and skills shortages on the domestic market, the Commission said.
Employment growth is set to decelerate but remain strong at 3.1% in 2025 and at 2.8% in 2026. The unemployment rate is expected to stay low at 3.2% in 2024, marginally dropping to 3.0% by 2026. However, high employment growth in low-paid sectors is set to keep nominal wage growth per employee in 2024 and over the forecast horizon modest, growing at a pace slightly above projected inflation, the Commission added.
Inflation declines following the global trend
HICP inflation moderated and is set to average 2.5% in 2024, the Commission said. Energy prices are expected to remain stable also in 2025 and 2026, as Maltese authorities confirmed their commitment to continue their energy subsidies measures, it continued.
Headline inflation is forecast at 2.2% in 2025 and 2.0% in 2026, with food and services inflation set to be the main contributors of inflation.
The government deficit is set to decline to just above 3% in 2026
In 2024, the general government deficit is set to fall to 4.0% of GDP, from 4.5% in 2023, due mainly to a decrease of subsidies, including measures to mitigate the impact of high energy prices, and the national airline's restructuring costs.
In 2025, the deficit is forecast to further decrease to 3.5% of GDP. In particular, subsidies are expected to further drop as percentage of GDP while the measures to mitigate the impact of high energy prices are expected to remain unchanged in nominal terms. Compensation of employees, social expenditure and public investment are also expected to decline somewhat as a share of GDP. This is projected to be partially compensated by decreasing revenues from personal income taxes, due to a comprehensive reform of income brackets.
Based on unchanged policies, the deficit is set to decline further to 3.1% of GDP in 2026 mainly reflecting a further decrease of subsidies as a share of GDP and the higher growth rate of revenues compared to the growth rate of nominal GDP, as the efforts to improve tax administration start to bring results
In 2023, the debt-to-GDP ratio fell by 2 percentage points to 47.4%, despite the high primary deficit, due to strong nominal growth as well as the impact of the benchmark revision. A stock-flow adjustment related to the equity injection in the national airline and a less favourable interest-growth-rate differential are expected to drive the increase of the public debt to 49.8% of GDP in 2024. Smaller primary deficits are forecast to lead to a stabilisation of the debt ratio by 2026, just above 50% of GDP.",https://www.independent.com.mt/file.aspx?f=219286,,2025-07-22 11:15:30.870305+02,{},{}
310584,https://www.independent.com.mt/articles/2024-04-29/local-news/European-Parliament-highlights-importance-of-voting-and-safeguarding-democracy-6736260655,Independent,https://www.independent.com.mt,Positive,European Parliament highlights importance of voting and safeguarding democracy,,,29/04/2024,"Between 6 and 9 June 2024, more than 370 million people across 27 Member States are called to vote in the European elections. To further inform EU citizens and encourage them to vote, the European Parliament is embarking on the second phase of its institutional communication strategy.
With ""Use Your Vote. Or others will decide for you"" as its tagline, this second phase highlights the importance of democracy. It encompasses a multifaceted approach, including media events, digital outreach, public and private partners' involvement, community engagement initiatives and educational programmes tailored to resonate with citizens across the EU.
""European Union democracy is more important today than ever. Everyone's vote matters. It will decide the direction our Union will take for the five coming years. It will decide what Europe we want to live in"", European Parliament President Roberta Metsola said. ""In order not to let someone else choose for us, we should vote on 6-9 June 2024"".
Collective responsibility
As the European Union faces evolving challenges and with the June 2024 elections approaching, the European Parliament reaffirmed its commitment to fostering dialogue, unity and active citizenship. ""'Use your vote. Or others will decide for you' serves as a powerful reminder that democracy is a precious legacy that must be nurtured and defended by all,"" a statement by the European Parliament read.
""Democracy is a collective responsibility - not towards a political idea or a specific cause - but towards each other"", says the European Parliament's spokesperson Jaume Duch. ""We are more united in European democracy than we might think: across nations, political sensitivities and across generations. In our polarised times, this is easy to forget and our campaign is made to remind us of what unites us.""
More specifically, the campaign's central video further explores the chequered history of many European countries that have experienced armed conflict or limits on individual freedom and the precarious nature of democracy if not actively sustained.
Interest in EU elections
In 2019, more than half of eligible voters in Europe turned out to vote (50.6%). The EP's Spring 2024 Eurobarometer survey with more than 26 000 respondents in all EU Member States has shown that 60% of Europeans are interested in the 6-9 June 2024 elections, eleven points more than in spring 2019 (three months prior to the previous European elections), a statement by the European Parliament read. ""Additionally, 71% say that it is likely that they will vote, again 10 more points than last time.""
""Findings also suggest that four in five Europeans agree that 'Voting is important to keep democracy strong' (81%) and that 'Voting is important to ensure a better future for the next generations' (84%). More than eight in ten Europeans (81%) believe voting is even more important given the current geopolitical situation.""
Watch video in Maltese here
Watch video in English here",https://www.independent.com.mt/file.aspx?f=220155,,2025-07-22 11:15:46.087274+02,{},{}
77510,https://www.maltatoday.com.mt/news/national/132973/watch_prime_minister_pledges_action_on_foreign_workers_surgeries_for_elderly_in_new_year_message,Malta Today,https://www.maltatoday.com.mt,Positive,"[WATCH] Prime Minister pledges action on foreign workers, surgeries for elderly in new year message","Prime Minister Robert Abela urges unity in new year message, pledges action on imported labour, quality tourism and hospital waiting lists",Kurt Sansone,31/12/2024,"Robert Abela has pledged to continue addressing the issue of imported labour calling it one of our most significant challenges, in his new year message.
However, the Prime Minister sought to allay fears this would negatively impact the economy, insisting the government will ensure it will continue to grow.
I will ensure that as the economy grows, this does not adversely affect the quality of life of Gozitans and Maltese, or indeed the environment around us, Abela said.
The tourism industry got a special mention with the Prime Minister saying Malta now has the luxury to lean towards quality tourists and not quantity.
We have solutions, and these solutions shall be implemented. We have a clear plan, and we know where were heading, Abela emphasised.
The 10-minute recorded message was broadcast on TVM and started with a rendition of the national anthem sung by Ira Losco, accompanied by solo guitarist and a small orchestra of young musicians in the background.
Abela appealed for unity in the new year, urging people to work together to find solutions to the issues affecting society.
After exalting the positive qualities of the Maltese people  kind-hearted, hardworking, boundless talent and immense courage  he went on to list some of the budget measures that will come into force in January  the income tax cut, another pension increase, and higher Childrens Allowance payments.
Significantly, Abela said government will intensify its work to reduce hospital waiting lists in the shortest time possible, singling out what he called much-needed surgeries of our elderly.
Abela ended his message by wishing the country a year of unity, hope and peace.",https://content.maltatoday.com.mt/ui/images/photos/robert_abela_new_year_2025_message.jpg,Prime Minister Robert Abela (Photo: OPM),2025-07-18 11:39:31.673591+02,{National},{}
238351,https://www.maltatoday.com.mt/news/national/130883/no_comparison_between_mpox_and_covid_virologist_says,Malta Today,https://www.maltatoday.com.mt,Neutral,"No comparison between Mpox and COVID, virologist says","There is no comparison between Mpox and COVI, virologist Chris Barbara said",Juliana Zammit,27/08/2024,"There is no comparison between Mpox and COVI, virologist Chris Barbara said.
Unlike COVID, which spreads through respiratory droplets, Mpox requires close physical interaction for transmission, so we are not expecting the virus to be spread so easily, he told MaltaToday.
Mpox, also known as Monkeypox, is a viral infection first identified in humans in the 1970s in the Democratic Republic of the Congo (DRC), transmitted to humans through contact with infected animals. Human-to-human transmission can also occur, particularly through close physical contact with an infected person, including sexual contact.
Mpox made headlines after the rise of the Clade I variant, which spread to a number of African regions, prompted the World Health Organization (WHO) to declare a public health emergency of international concern earlier this month.
Symptoms of Mpox include fever, muscular aches in the first seven days which then turn into large, boil-like lesions appearing on the skin.
Last Monday, the Health Ministry announced that no Mpox cases have been registered in Malta this year, but people travelling to affected countries are encouraged to take precautions to avoid contamination.
Maltas health authorities are closely monitoring any potential cases. Surveillance systems have been strengthened to quickly identify and respond to any suspected cases of Mpox. Early diagnosis is crucial, and the public is being informed about recognising the symptoms, the ministry said.
MaltaToday reached out to virologist Chris Barbara, a household name during the COVID pandemic, to better understand Mpox and the dangers it could pose.
With COVID still fresh in peoples memory, news on Mpox had people questioning whether the world should brace itself for another pandemic. But Barbara has assured that the two diseases are not alike.
Barbara stated that Mpox spreads primarily through skin contact, which includes not only direct contact but also contact with contaminated objects like bedding and clothing.
This differs significantly from respiratory viruses like COVID, he said, noting that sexual transmission is a significant risk factor in Mpox due to intimate skin contact.
While the WHO have declared a public health emergency, Barbara said Malta is still at low-risk, stating only high-risk individuals such as healthcare workers and those in contact with infected people should consider getting vaccinated at this time.
The virologist stressed on the importance of educating healthcare workers in recognising Mpox symptoms, as they are the ones who would be able to flag cases if they arrive in the country.
Barbara pointed out that antibiotics do not work against Mpox, however anti-viral treatments could provide some level of protection.
Barbara stated that doctors are studying the new Clade I variant to see at what stage infectivity starts, Although it is on our radar, there is no need for alarm. I think we [are already quite armed against the virus even though it hasnt hit us yet.
Since November 2023, the Democratic Republic of the Congo has seen a significant increase in Mpox cases due to MPXV Clade I. According to the Africa CDC Epidemic Intelligence Report issued on 9 August 2024, over 17,000 Mpox cases have been reported in Africa in 2024, with over 500 deaths.
Additionally, in 2024, cases of Mpox linked to MPXV Clade I have been reported in the Central African Republic and the Republic of Congo, and cases linked to MPXV Clade II have been reported in Cameroon, Cte dIvoire, Liberia, Nigeria and South Africa. Clade I Mpox tends to cause a higher number of severe infections and have a higher mortality rate than Clade II Mpox.
On 15 August 2024, an imported case of MPXV clade I was reported by Sweden with more imported cases being expected in the European Union.",https://content.maltatoday.com.mt/ui/images/photos/mpox_rash_on_hands.png,"Symptoms of Mpox include fever, muscular aches in the first seven days which then turn into large, boil-like lesions appearing on the skin",2025-07-18 19:43:45.585355+02,{National},{}
483029,https://www.maltatoday.com.mt/news/ewropej/128282/european_ngos_unite_to_petition_eu_parliament_on_voluntary_assisted_dying,Malta Today,https://www.maltatoday.com.mt,Neutral,European NGOs unite to petition EU Parliament on voluntary assisted dying,"During this legislature, Malta is set to have a discussion on euthanasia as this was one of the Labour Partys 2022 electoral promises",Matthew Farrugia,25/03/2024,"A coalition of 28 organisations spanning across the European Union have banded together to advocate for the right to voluntary assisted dying.
Their collective efforts aim to ensure individuals' autonomy over their end-of-life decisions.
Among the organisations is Humanists Malta, an NGO that upholds humanism's core values, which include, compassion, freedom of personal choice, human rights, and voluntary assisted dying.
During this legislature, Malta is set to have a discussion on euthanasia as this was one of the Labour Partys 2022 electoral promises.
In November 2022, Prime Minister Robert Abela had stated that a debate on euthanasia must lead to an eventual decision. During the same time, the Nationalist Party had stated that it is against euthanasia.
The 28 organisations are planning to petition the EU Parliament to adopt a number of measures. Foremost among these is the inclusion of the right to voluntary assisted dying in The Charter of Fundamental Rights of the EU.
Additionally, they seek legislation that enforces an individual's right to decide the means and timing of their death, provided they are capable of making a free decision. This right, according to a statement by Humanists Malta, is recognised by the European Court of Human Rights as an aspect of the right to respect for private life, and is pivotal in upholding individuals' autonomy and dignity.
The associations support advanced directives and living wills being mutually recognised within the EU. Such acknowledgement guarantees that one's end-of-life choices be respected regardless of location, provided that it complies with the legislation of the member state in which the person resides.",https://content.maltatoday.com.mt/ui/images/photos/doctor_elderly_care_euthananisa.png,"Humanists Malta, a Maltese NGO is one of 28 NGOs petitioning the EU Parliament",2025-08-01 05:40:13.623968+02,{Ewropej},{}
80299,https://www.maltatoday.com.mt/news/national/128377/how_catholics_in_malta_will_celebrate_the_easter_triduum,Malta Today,https://www.maltatoday.com.mt,Neutral,How Catholics in Malta will celebrate the Easter Triduum,"The heart of the Catholic liturgical year takes place over the coming three days in the shape of the Paschal Triduu,three holy days in which Catholics celebrate the Resurrection of Jesus Christ",Matthew Vella,28/03/2024,"The Easter or Paschal Triduum are three days which, in the liturgical calendar of the Catholic Church, commonly refer to the three days of preparation for major feasts (such as the triduum for the titular feast).
The triduum means the three holy days of Easter of the Resurrection of the Lord. This triduum, which in the liturgy is like one whole day, starts in the evening of Maundy Thursday, progresses through Good Friday and ends with the Easter Vigil before daybreak on Sunday.
Maundy Thursday: Chrism Mass  28th March 2024, 9:30am
On Maundy Thursday morning, Chrism Mass at St Johns Co-Cathedra; is presided over by the bishop of the diocese at 9:30am, together with other bishops, and all the priests and deacons of the diocese.
The Chrism Mass is so called since the blessed oils used in sacraments, the Holy Chrism, is mixed with perfumed oils before being consecrated.
The mass represents a manifestation of communion as Jesus willed during the Last Supper. After the homily, the Archbishop and the priests renew the promise they made on the day of their ordination.
After the renewal of priestly promises, the oils that will be used during the administration of the sacraments and other rites during the year, up to the next Maundy Thursday, are blessed.
The first oil to be blessed is the oil used to anoint the sick and moribund in the Sacrament of the Sick. Next is the Oil of Catechumens, used before Baptisms. Lastly, Holy Chrism is consecrated, used for the consecration of individuals in Baptism, Confirmation, and Ordinations, as well as for consecrating altars and churches to God.
Maundy Thursday: The Solemn Commemoration of the Lords Supper  28th March 2024, 6:00pm
The Easter Triduum begins after sunset on Maundy Thursday with the solemn commemoration of the Last Supper, when Jesus instituted the Sacrament of the Eucharist and the Sacrament of Holy Orders.
Traditionally, the main celebrant washes the feet of some individuals representing all or part of the community as a sign of service.
After Holy Communion, the hosts consecrated during this Mass are placed in a pyx and carried in a solemn procession to the altar of repose, historically referred to as the sepulchre. These will be given during the Communion on the next day.
The Catholic faithful at this point reflect on the suffering endured by Jesus Christ before his crucifixion and death, starting at the cenacle, and fulfilled on the hill of Golgotha where Christ was crucified, reaching its climax in the Resurrection on Easter Sunday.
Good Friday: The Solemn Commemoration of the Passion and Death of the Lord  29th March 2024, 3:30pm
The first reference we have regarding the Solemn Commemoration of the Passion and death of the Lord date back to the fourth century when a holy woman named Egeria went on a pilgrimage to the Holy Land and kept a memoir in the form of a diary which she sent to her relatives and friends. From these writings, it is evident that the veneration of the relic of the cross, upon which Jesus died, originated during that time. Today Nowadays,
The Liturgy of the Lords Passion and Death takes place in the afternoon at 3pm.
The Liturgy on Good Friday does not begin with the sign of the cross and does not end with the celebrants blessing. The celebrant enters the church silently and in darkness, prostrating himself, and the Liturgy of the Word commences immediately with excerpts from prophet Isaiah, Psalm 30, the Letter to the Hebrews, and the reading of the Passion according to St John.
Following the homily, ten universal prayers for various categories of people are recited. The cross is then brought in and shown to the congregation, who kneel before it three times.
All present individually the worship the cross. An old tradition is for the priests to approach and adore the cross discalced, symbolising the holiness of the ground upon which it stood, echoing Gods encounter with Moses as recounted in the Book of Exodus.
In 1956, Pope Pius XII introduced Holy Communion during the Liturgical Action, utilising hosts consecrated on Maundy Thursday.
Holy Saturday: Solemn Vigil of the Lords Resurrection from the Dead  30th March 2024, 8:00pm
The Easter Vigil, held in the evening after sunset on Saturday, is a sacred vigil in which Catholics proclaim to the world the Lords Resurrection.
The liturgy begins outside the church with the blessing of the fire and the lighting of the Paschal candle, a symbol of Christ himself, after the cross, the alpha and the omega, and the numerals of the current year are etched on the candle.
The assembly enters the church in darkness following the deacon carrying the lit Paschal candle, who stops three times to chant The Light of Christ (Lumen Christi) to which the congregation replies Thanks be to God.
As the Paschal candle is taken to the altar, the candles of all present are lit from it and the light of Christ glows in the darkness of the unlit church.
After the proclamation of Easter, excerpts from Scriptures recounting the History of Salvation are read, the Gloria is sung, and the Alleluia is solemnly sung, all of which lead gradually to the proclamation of the Gospel  this year from St Mark  that narrates Jesus resurrection.
The Liturgy of Baptism follows the homily. The water of Baptism is blessed by combining the two natural elements of fire and water, blessed by the dipping of the lit Paschal candle. Afterward, the celebrant sprinkles the congregation with Holy Water in remembrance of their baptism, thereby concluding the Liturgy of Baptism.
Easter Sunday: The Resurrection of the Lord from the Dead - 31st March 2024, 9:30am
On Easter Sunday, especially during the celebration of Mass, the Church celebrates the Resurrection of the Lord and the rebirth of Man to eternal life, in communion with all those who believe in the Resurrection. Throughout the day, the Church lives the joys, tensions, and all the other emotions experienced by the disciples after the Resurrection of the Lord.",https://content.maltatoday.com.mt/ui/images/photos/santa_rita.jpeg,,2025-07-18 11:49:03.914827+02,{National},{}
310638,https://www.independent.com.mt/articles/2024-04-04/local-news/Man-to-run-100km-around-Maltese-coast-in-aid-of-Caritas-Malta-this-Sunday-6736259946,Independent,https://www.independent.com.mt,Positive,Man to run 100km around Maltese coast in aid of Caritas Malta this Sunday,,,04/04/2024,"Athlete Miguel Mifsud will be running 100 kilometres around the Maltese coast this Sunday, on 07 April 2024, to raise funds for Caritas Malta.
Through this long run, The Sober Runner is also campaigning in favour of living a healthy life away from drugs, a Caritas statement said.
He will commence his run in Dingli at 04:00am and is scheduled to conclude his 100km at Caritas Maltas San Blas Therapeutic Community in {ebbu! approximately 11-to-12 hours later. From Dingli, Mifsud will pass through M!arr, G'ajn Tuffie'a, and Xemxija before continuing around the coast till he arrives at his final destination.
Mifsud will have four pit-stops throughout this 100-kilometre coastal run. His first stop is scheduled for 06:15am at St. Pauls Bays National Aquarium; the second pit-stop is marked for 08:00am near The Black Pearl restaurant in Ta Xbiex; the third stop is set at the 54km mark at Ponta tal-Isla, Senglea at 09:30am; and the fourth and final break is pinpointed at the 80km mark near WasteServs &al-Far Civic Amenity Site at around 01:15pm. From his final pit-stop, he will run the final 20 kilometres until he reaches the San Blas Therapeutic Centre, where he will be welcomed by family, staff, residents, and volunteers of Caritas Malta.
At each one of these marked stops, people are welcome to meet Miguel, provide a donation, give him words of encouragement, and even join him on his run.
Coming from a sedentary life of obesity, today Miguel is a disciplined and trained person and has been preparing for this run for just about one year.
Live updates of Mifsuds run will be given by Caritas Maltas media team through their Facebook page.
One can donate to Caritas Malta remotely via the BOV mobile app through the phone number 77414123, through Revolut on 77070801, or through a BOV account that was specifically opened for this cause. The BOV account is titled Giving Back Run and its IBAN is: MT60VALL22013000000050020756300.
Caritas Malta has wished Mifsud the best of luck for his run this weekend and showed their appreciation towards his very noble gesture. The organisation hopes that more good can continue being done through the funds collected for the most vulnerable people in the Maltese society.",https://www.independent.com.mt/file.aspx?f=240461,,2025-07-22 11:16:13.813206+02,{},{}
218531,https://www.maltatoday.com.mt/news/national/129122/robert_abela_heaps_praise_on_chris_fearne_country_has_lost_a_person_of_integrity,Malta Today,https://www.maltatoday.com.mt,Negative,Robert Abela heaps praise on Chris Fearne: Country has lost a person of integrity,"Prime Minister Robert Abela blames establishment for Chris Fearnes resignation, reiterates full trust in former deputy prime minister",Kurt Sansone,10/05/2024,"Robert Abela praised Chris Fearne and reiterated his full trust in the former health minister, who resigned from Cabinet earlier today.
The Prime Minister said the country had lost a person of integrity, blaming the anonymous establishment of wanting to get back at those who denied it power.
Addressing Labour supporters in Santa Venera this evening as part of the European and local council elections campaign, Abela heaped praise on Fearne, describing him as a shoulder he could lean on during the difficult period of the pandemic.
I had, I have, and I will always have full trust in Chris Fearne, a man of integrity and a person whose capabilities and expertise in the health sector are recognised internationally, Abela said.
Fearne tendered his resignation from deputy prime minister and the Cabinet on Friday after he was one of many people charged in the Vitals hospitals case. He also relinquished his nomination to be Maltas next European Commissioner.
He is being charged with misappropriation and defrauding the government in his capacity as health minister between 2016 and 2024.
The charges were issued after a magistrate concluded a four-year investigation into the hospitals deal, which was struck down by the civil court last year. Former prime minister Joseph Muscat and former minister Konrad Mizzi face much more serious charges, while the Governor of the Central Bank of Malta Edward Scicluna faces charges similar to Fearne's for his role as finance minister until 2020.
The criminal charges against Fearne came as a surprise to many since the Auditor General found nothing unbecoming in his regard in three separate investigations.
Fearnes resignation has shocked people in the Labour Party. Abela had asked him to reconsider the decision to resign to no avail.
In Santa Venera, Abela sustained his criticism of the hospitals inquiry and insisted he will keep on defending those who were loyal to the country.
The reference was also to former and current permanent secretaries who face criminal charges as a result of the inquiry findings.
I feel a sense of sadness today but I also look forward to the time when the procedures against Chris are closed but by then we would have realised what we lost as a country, Abela said to applause.",https://content.maltatoday.com.mt/ui/images/photos/robert_abela_at_santa_venera.jpeg,Robert Abela addressing supporters at an event in Santa Venera,2025-07-18 18:45:34.376381+02,{National},{}
