mention_id,article_id,code,surface,method,label,section,sentence,paragraph,char_start,char_end,sentiment_ground_truth,sentiment_reasoning
313,320319,ALB,Albania,pattern_rule,,content,Two workers from Albania were taken to hospital after the roof of a house caved in.,"Two workers from Albania were taken to hospital after the roof of a house caved in.
The accident happened in Pietro Floriana Street, Floriana on Friday at 8.30am.
The police said that investigations found that the men, who were working on a construction site of a new building, jumped onto the neighbours roof to get some material they had, and that the roof of the building caved in with them.
The builders fell through each of three floors before ending up on the ground floor, a police spokesman said.
The two Albanian men, aged 32 and 36, were taken to hospital for treatment by ambulance. Both suffered grievous injuries.
Occupational Health & Safety Authority (OHSA) and Building and Construction Authority (BCA) officials were seen on site. The police also said that Civil Protection Department officials went on site to assist.
Magistrate Antoine Agius Bonnii has launched a magisterial inquiry, while investigations by both the police and the OHSA are ongoing.
Speaking to Times of Malta, the daughter of the owners of the building of which the roof collapsed, said that her parents moved out in recent months due to fears of becoming construction victims. ""My father was scared, he said he did not want to end up like Miriam Pace,"" the daughter told The Times of Malta.
It also reports that the owners were only aware that their roof was being used to store building materials for construction next door after the collapse.
Last Saturday, an Albanian worker died when the roof of a residence in Sliema collapsed and, another worker, also from Albania, was injured.",4,24,neutral,
11664,467408,ARG,Argentina,pattern_rule,,content,"A young man from Argentina has admitted to having smashed 10 car wing mirrors in Sliema while drunk.
23-year-old Alejandro Gusman, a waiter, was arraigned under arrest before magistrate Donatella Frendo Dimech on Friday by Police Inspector Ian Azzopardi, accused of offences relating to criminal damage and public drunkenness.
Gusman pleaded guilty to the charges.","A young man from Argentina has admitted to having smashed 10 car wing mirrors in Sliema while drunk.
23-year-old Alejandro Gusman, a waiter, was arraigned under arrest before magistrate Donatella Frendo Dimech on Friday by Police Inspector Ian Azzopardi, accused of offences relating to criminal damage and public drunkenness.
Gusman pleaded guilty to the charges.
The court was informed that the prosecution and defence had informally agreed to suggest a community service order as the ideal punishment.
Lawyer Yanica Barbara Sant told the court that the man regretted his actions and would be paying for the damage he had caused.
In view of these submissions, the magistrate ordered a pre-sentencing report be drawn up, instructing the Office of Probation and Parole to look into community service as a possibility.
He was granted bail pending the completion of the report, being ordered to sign a bail book every week and observe a curfew. Bail was secured by a 3,000 personal guarantee.",8,26,negative,
10036,4215,AUS,Australian,spacy_ner+gazetteer,NORP,content,"An Australian entrepreneur of Gozitan heritage, Adrian Portelli, is facing nine charges in South Australia over allegedly conducting an unlawful lottery.","An Australian entrepreneur of Gozitan heritage, Adrian Portelli, is facing nine charges in South Australia over allegedly conducting an unlawful lottery. The 35-year-old, whose lavish and eye-catching cars have earned him the nickname 'Lambo Guy', hit back at South Australian authorities, claiming his company is ""compliant"". Portelli is a self-made billionaire who runs a successful loyalty programme and operates a property development firm. In the latest season of the Australian reality TV show focused on real estate, The Block, Portelli bought all the properties, spending a monumental AUS$15.03 million. (9.12 million) He also made headlines earlier this year when he bought Melbournes most expensive apartment- a double-storey penthouse on La Trobe Street with a price tag of AUS$39 million (23.2 million) and then adding a swimming pool, bowling alley and even a McLaren supercar to it. Portelli made much of his fortune through a company that operates a ""rewards club"" that conducts regular giveaway, giving members the chance to win cars or properties. Australian authorities said that is like a ""trade promotion lottery"", which under South Australian law can only be operated by licenced entities and cannot charge entrants to participate. Portelli's company Xclusive Tech Pty Ltd, which operates under the name LMCT+, is now facing 10 charges for conducting or assisting in the conduct of an unlawful lottery. South Australias Consumer and Business Services (CBS) says it documented multiple such incidents occurred between January 29, 2023 and May 16, 2024. The major prize for the lottery was a property situated in Gisborne in the state of Victoria as seen on the Australian television show The Block, or a cash prize of $3,000,000, court documents said. Giving away the prize involved an element of chance but the defendant did not hold a licence to conduct the lottery in South Australia. Two other Block properties, one valued at about $2.9m and the other not given a value were offered as prizes, with cash prizes of $2.5m and $2m respectively offered as alternatives. Another property on the Gold Coast valued at $1.3m was also a major prize. According to reports, Portelli is due to face court on January 15. ""My sales skyrocketed"": Portelli on charges Just hours after the charges were laid, Portelli hosted a massive party at his multimillion-dollar penthouse in Melbourne's CBD and then shared pictures and videos of the party on his socials. In a video posted to Instagram, he addressed the situation by blaming the media for having reported it. You know what the media does, its unfortunate, but you need to respect it in some ways (...) their job is to get clicks, get attention, screen time, whatever (...) and they do it at the cost of people, which unfortunately was me yesterday, he said.  Despite this, he thanked the media for their coverage as his business sales skyrocketed following the articles. I consider myself a pretty nice guy, he continued. He said his business has been operating for over seven years and would not have run for so long if it was not compliant. We have met with governing bodies, we have met with the gaming commissions, theyve come out to see us and weve worked with them, he explained. They investigated and looked into our stuff and they have all come back with the same finding, that we are compliant. Nevertheless, he acknowledged that authorties had revoked his company's licence to operate in South Australia, saying they did so ""overnight"". Portelli believes the move is intended to help competitors who ""tried to copy"" his business model.",3,13,negative,
6934,4745,AUS,Australian,spacy_ner+gazetteer,NORP,content,"Australian media reported that, according to the police, a white truck was driving Altona-bound on the Western Ring Road at about 4pm on Thursday when the ramp came off.","Updated Friday 2.15pm A Gozitan woman has been killed in a freak incident on a Melbourne freeway. MaryAnne Cutajar, 46, died when a ramp fell off a truck and struck her vehicle. Cutajar, who moved to Australia 30 years ago, visited her home country just last month. Australian media reported that, according to the police, a white truck was driving Altona-bound on the Western Ring Road at about 4pm on Thursday when the ramp came off.",266,276,neutral,
18997,8760,AUS,Australian,spacy_ner+gazetteer,NORP,content,"The clot and resulting restricted blood flow caused Zayns left leg to swell, leading to significant muscle and tissue damage, according to the boys mother, who later told the Australian media that the Maltese doctors operating on her son had destroyed his life.","The government has refused a Times of Malta Freedom of Information request about an investigation into alleged negligence at Mater Dei Hospital that left a baby needing a leg amputation abroad. In November 2022, seven-month-old Zayn Seguna was admitted to Mater Dei after developing bronchiolitis during a family trip to Malta to visit family. But this was not the end of baby Segunas troubles. His family claimed that, while treating him, doctors damaged an artery causing a blood clot to form. The clot and resulting restricted blood flow caused Zayns left leg to swell, leading to significant muscle and tissue damage, according to the boys mother, who later told the Australian media that the Maltese doctors operating on her son had destroyed his life. After four days under observation, the decision was made to send baby Seguna to the UK for emergency treatment, where doctors were forced to amputate the lower half of his leg. The boys family later accused doctors at Mater Dei of negligence and filed a formal complaint against the hospital. Responding to questions last year, a spokesperson for the health ministry said an internal investigation had been opened and was ongoing. Contacted again earlier this year with questions about the investigation and its findings, the ministry said that Mater Dei took the necessary actions and implemented recommendations after an internal review was concluded but did not supply any other details. Times of Malta subsequently lodged a Freedom of Information (FOI) request with the health ministry asking for a copy of the reviews findings and recommendations. But that request was refused, with the ministrys chief medical officer Walter Busuttil saying the findings were considered as an exempt document. According to Busuttil, the review was exempt from the FOI process because it benefited from professional privilege, a legal concept which protects communication between some professionals and their clients from being disclosed, because lawyers acting for Mater Dei had compiled the report. The chief medical officer also said the findings of the hospital review were exempt from the FOI process because their release could influence any ongoing related trial or disciplinary hearing. Sources close to the medical council (MCM) said an investigation was underway but had been suspended pending the outcome of court decisions and appeals. At the time of publication, however,Times of Maltawas not able to find information on any civil court case lodged by the boys family in Australia or Malta and, when contacted, the police said they had not investigated the incident. Sources also said that, given the constitutional case, the MCM has suspended such cases as well, in reference to the constitutional court case by doctor and Nationalist MP Stephen Spiteri. Spiteri had successfully argued the council had breached his fundamental rights when investigating him for allegedly signing medical certificates without examining patients, with the constitutional court subsequently nullifying the councils proceedings. Times of Malta plans to appeal the FOI decision. Last year, Times of Malta won an appeal against Enemalta before the Freedom of Information watchdog, the IDPC, after the State-owned energy company also claimed an internal report about the Montenegro wind farm deal was legally privileged. It was subsequently ordered to hand over the report.",674,684,neutral,
10248,95301,AUS,Australians,spacy_ner+gazetteer,NORP,content,"The point is there are many instances where ancestral lineage allows foreigners to acquire citizenship  as in the case of Australians with Malta, or South Americans with Italy  simply to gain access to the European Union without any real genuine link such as residence, birthplace or income.","The European Court of Justices advocate generals opinion in Brusselss case against Maltas golden passport scheme may have dealt the investment migration community a winning hand.
The Investment Migration Council, a lobby of major firms invested in the sale of citizenship, said an AG opinion that questioned Brusselss move to take Maltas sale of citizenship to the ECJ, was a very strong message to the court.
It is worth noting that opinions are sometimes cited more than cases, IMC chief executive officer Bruno Lecuyer told MaltaToday. We acknowledge the media interest surrounding the EU v. Malta case. While we respect the courts eventual decision, regardless of the outcome, the AGs opinion is a very strong message to the court.
Other critics of the European Commissions action against Malta believe Brussels has overreached on its powers to whip a small member state into submission over the sale of citizenship, as some members of the Maltese citizenship-by-investment community told this newspaper.
Lecuyer, a co-founder of the IMC, said his lobby has been dedicated to establishing and promoting global standards on the sale of citizenship while providing qualifications in investment migration, in collaboration with governments and policymakers and the EU.
In identifying the potential acquirers of an EU passport as the likely perpetrators of financial crimes, Lecuyer suggests Brussels misreads the way any such wrongdoer  golden passport or not  is dealt with by EU law.
It is essential to acknowledge that in May 2024, the European Council approved a comprehensive legislative package targeting anti-money laundering (AML) and countering the financing of terrorism (CFT). These regulations represent a significant shift for investment migration, which is now integrated into a broader regulatory framework. This new reality places investment migration alongside other established sectors that are subject to stringent and necessary AML procedures, he said.
Genuine links only for CBIs
Malta has always insisted that EU citizenship is contingent solely upon national citizenship  and that any competences not explicitly granted to the Union are retained by the Member States. So, laws that are the exclusive jurisdiction of the member state, such as citizenship, can never be transferred to the EU. Even the EUs Court of Justice has given wide berth to members states in setting their own terms on defining nationality for its citizens (Micheletti line of cases).
The Commission on the other hand, claims EU citizenship when acquired based on payment, is incompatible with the principle of sincere cooperation, the latter forming part of the Treaty of the EU, claiming further that sincere cooperation demands a genuine link between the elites buying their golden passports and Malta.
The question is why citizenship by descent, or through special achievements does not get the same scrutiny by the EC? The AGs opinion thinks this betrays the Commissions inconsistency on when member states citizenship laws might affect internal security concerns.
Supporters of CBI programmes insist that the EUs concern with the risks of financial illegalities tied with golden passports, is misdirected and that is the phenomenon of freely moving capital and interconnected transactions that facilitates illicit finance. Maltas response to the European Parliament resolutions and the Commissions case in the ECJ, eventually led to further reforms of the former Individual Investor Programme, for the strengthening of due diligence on these applications.
Blood or no blood
There can be a thin line between the alleged perils from naturalised citizens based on blood criteria; and those who acquire a golden passport without any profound affinity to a destination country  what Prof. Dmitry Kochenov, a past consultant for CBI supremos Henley, dubbed as fetishising blood as the paragon for building a just human society.
The point is there are many instances where ancestral lineage allows foreigners to acquire citizenship  as in the case of Australians with Malta, or South Americans with Italy  simply to gain access to the European Union without any real genuine link such as residence, birthplace or income.
Little then is said about the alternative ways in countries can accord citizenship by recognising individuals who make contributions in fields such as science, arts, culture, sports, or economics  the national Maltese football team has at least five such footballers in its starting 11.
So, the question for Brussels is why; in pursuing its Malta challenge over the absence of a genuine link for golden passport holders, does it not raise the same alleged links of naturalised EU citizens who obtained citizenship by dint of their intellectual, non-economic contributions.
For this makes the latter mode of citizenship acquisition far more discretionary, reflecting the opportunistic gains of the granting state, without applying the same stringent due diligence procedures as those for CBI or golden passport applicants.
And if CBI programmes are alleged to enable actors seeking new markets to further crimes of money laundering, tax evasion or corruption, how is this problem of economic illegality even addressed in the case of the far higher number of blood-naturalised citizens in the EU?
Genuine link a political choice
In his opinion, the CJEUs Advocate General explores the central point of contention around the existence and necessity of a genuine link between an individual and a member state for the granting of citizenship  which Brussels claims exists as a basis for mutual trust underpinning EU citizenship; Malta refutes this requirement.
The Commission argues that although member states determine their nationality rules, EU law limits this competence to prevent actions undermining EU citizenship. By facilitating the grant of golden passports, Brussels says Malta compromises the integrity of EU citizenship and the principle of sincere cooperation.
Malta defends the scheme as falling under its sovereign right to attract wealth and shape its national identity  a prior genuine link is a political choice, not an international or EU law obligation.
The Advocate General concludes that neither EU law nor international law explicitly mandates a genuine link for granting nationality. While EU law restricts the arbitrary withdrawal of nationality and may consider a genuine link in those situations, it doesnt impose such a requirement for acquiring nationality. EU law does not define, much less require, the existence of such a link& in order to acquire or to retain that nationality.
The Advocate Generals Opinion, while not binding, carries significant weight. The Opinion favours Malta, emphasising the lack of an explicit genuine link requirement in EU law for acquiring citizenship. This could potentially have ramifications for other member states with similar citizenship schemes. However, the Court is not obliged to follow the Advocate Generals Opinion.",4083,4094,negative,
10828,207335,AUS,Australian,spacy_ner+gazetteer,NORP,title,Deputy Prime Minister Ian Borg meets with Australian Foreign Minister Penny Wong,Deputy Prime Minister Ian Borg meets with Australian Foreign Minister Penny Wong,42,52,neutral,
9546,305874,AUS,Australian,spacy_ner+gazetteer,NORP,content,"Extradition proceedings in the UK had been expected to continue in the High Court in London on 9-10 July, following a decision in May to grant him the right to appeal his 2022 extradition order on two grounds, both related to the possibility that, as an Australian citizen, he could be denied free speech protections afforded by the First Amendment.","WikiLeaks publisher Julian Assange, who has unjustly spent years in prison for publishing leaked information exposing war crimes and human rights abuses, is set to be freed after reaching a plea deal with the United States.
Reporters Without Borders (RSF) said it was hugely relieved by his release, a victory for press freedom and the culmination of a years-long campaign for justice.
According to WikiLeaks, Assange left Belmarsh high-security prison in London on the morning of 24 June after spending 1,901 days there awaiting the outcome of extradition proceedings initiated by the United States.
He was granted bail at the High Court in London and then taken to Stansted Airport, where he boarded a plane to leave the UK. He is expected to reunite in Australia with his wife, Stella Assange, and their children  who have never met him outside jail.
Details of the plea deal have yet to be released, but Assange is expected to plead guilty to one charge  rather than the 18 he would have faced had he been extradited for trial in the US  and the five years he has already served in Belmarsh prison should be taken into account.
RSF Director of Campaigns Rebecca Vincent said, We are hugely relieved that Julian Assange is finally free  a long overdue victory for journalism and press freedom. He should never have spent a single day deprived of his liberty for publishing information in the public interest. Nothing can undo the past 13 years, but it is never too late to do the right thing, and we welcome this move by the US government.
Assange, an Australian citizen, was facing up to 175 years in prison on 18 counts related to WikiLeaks publication in 2010 of more than 250,000 leaked classified military and diplomatic documents.
He would have been the first publisher to be tried under the US Espionage Act, which would have set a deeply alarming precedent threatening any journalist or media organisation working with leaked classified information.
His release comes after a huge and years-long global campaign emphasising the grave danger for journalism and press freedom such a prosecution would pose.
RSF has been central to that campaign and is the only NGO to have monitored more than four years of extradition proceedings against Assange in UK courts. RSF representatives also gained rare access to visit Assange in Belmarsh prison and advocated directly with the US, UK, and Australian governments, urging them to find a political solution to the case.
While the campaigns success brings enormous relief to his family, supporters and journalists worldwide, it is deeply alarming that Assange was deprived of his liberty for 13 years  including more than five years in Belmarsh prison and almost seven taking refuge in the Ecuadorian embassy in London  for publishing material that was both true and of enormous public interest.
The expectation is that, under the plea deal, Assange will plead guilty to a single criminal count of conspiring to obtain and disclose classified US national defence documents, a charge under the Espionage Act which could still have a chilling effect on public interest journalism and the publics right to know. In addition, there has still been no accountability for the crimes exposed in the leaked documents.
On a personal level, Assanges incarceration has taken a huge toll on his mental and physical health.
Extradition proceedings in the UK had been expected to continue in the High Court in London on 9-10 July, following a decision in May to grant him the right to appeal his 2022 extradition order on two grounds, both related to the possibility that, as an Australian citizen, he could be denied free speech protections afforded by the First Amendment. UK judges had said he had a real prospect of success on those grounds.",3627,3637,positive,
3760,312232,AUS,Australian,spacy_ner+gazetteer,NORP,content,"Australia is currently gearing up for a massive crackdown on childrens access to social media, with a minimum age limit that could potentially be set as high as 16, the Australian Prime Minister announced on Tuesday.","Australia is currently gearing up for a massive crackdown on childrens access to social media, with a minimum age limit that could potentially be set as high as 16, the Australian Prime Minister announced on Tuesday.
The federal government plans to introduce new legislation this year aimed at blocking children from accessing popular platforms such as Facebook, Instagram, and TikTok.
While the exact age limit is yet to be determined, the Prime Minister revealed it could range between 14 and 16 years old, with his personal preference being a ban on users under 16.
I want to see kids off their devices and onto the footy fields, swimming pools, and tennis courts, the Prime Minister said. We want them to have real experiences with real people because social media is causing significant harm.
He pointed to the damaging mental health effects linked to social media use among young people, calling it a scourge that needs to be addressed.
Age verification trials are set to take place over the coming months, but experts are already raising questions about whether such limits can realistically be enforced.
Some are concerned that imposing an age limit could backfire, excluding young people from healthy online engagement.
Analysts are noting that while setting boundaries for young peoples access to social media might be logical, the bigger issue lies in regulating social media platforms themselves.
Australia has been a global leader in regulating social media, with its online safety watchdog frequently clashing with platforms like Elon Musks X over their content policies.
What do you make of this bold move?",170,180,positive,
301,319403,AUS,Australian,spacy_ner+gazetteer,NORP,content,"After welcoming the newly elected Australian MP following elections in 2023, Speaker Farrugia recalled the long-standing and positive relations that exist between the two countries, which relations have been consolidated by various high-level visits, including his visits in connection with meetings organised by the Commonwealth Parliamentary Association.","Speaker of the House of Representatives An!lu Farrugia received a courtesy call from Kylie Wilkinson, Member of the New South Wales Legislative Assembly in Australia.
""After welcoming the newly elected Australian MP following elections in 2023, Speaker Farrugia recalled the long-standing and positive relations that exist between the two countries, which relations have been consolidated by various high-level visits, including his visits in connection with meetings organised by the Commonwealth Parliamentary Association. The two dignitaries referred to the Maltese diaspora in Australia, and it was discussed that the latest Australian census confirmed that around 230,000 Australian residents claimed Maltese and more than 37,000 Australians born in Malta, noting that the Maltese community has settled down and integrated well in its new environment in Australia,"" A statement by the Speaker read.
""Kylie Wilkinson explained that she is on a study visit to Malta as she intends to do a CPA Study Tour on Domestic Violence. Domestic violence is a very important issue to the NSW Government, and the Republic of Malta has one of the lowest rates of domestic violence in the Commonwealth. She has organised a number of meetings with various ministries and organisations that tackle domestic violence with the aim of understanding what our country has done and is currently doing to tackle this situation. In this regard, Speaker Farrugia explained in detail the legislative reforms carried out by the Maltese parliament to address local domestic violence.""",202,212,positive,
